mz,intensity
100.0,14.7
100.5,9.1
101.0,13.1
101.5,13.0
102.0,24.9
102.5,14.8
103.0,12.8
103.5,10.2
104.0,10.9
104.5,17.0
105.0,16.1
105.5,27.6
106.0,13.6
106.5,26.7
107.0,19.4
107.5,17.5
108.0,7.8
108.5,10.5
109.0,23.6
109.5,30.6
110.0,19.0
110.5,23.8
111.0,14.9
111.5,15.1
112.0,13.4
112.5,25.9
113.0,20.1
113.5,15.9
114.0,15.4
114.5,21.9
115.0,19.9
115.5,12.6
116.0,34.8
116.5,19.4
117.0,17.6
117.5,31.6
118.0,26.4
118.5,16.9
119.0,21.7
119.5,11.4
120.0,13.5
120.5,7.1
121.0,28.5
121.5,8.2
122.0,23.0
122.5,12.6
123.0,11.8
123.5,16.2
124.0,19.5
124.5,22.4
125.0,35.6
125.5,20.2
126.0,24.9
126.5,13.8
127.0,23.3
127.5,18.6
128.0,14.5
128.5,16.8
129.0,17.1
129.5,18.9
130.0,20.6
130.5,14.3
131.0,13.0
131.5,23.6
132.0,8.9
132.5,13.7
133.0,32.6
133.5,5.9
134.0,13.3
134.5,23.1
135.0,9.0
135.5,49.5
136.0,6.2
136.5,31.1
137.0,32.6
137.5,25.3
138.0,16.0
138.5,20.2
139.0,12.2
139.5,24.2
140.0,11.2
140.5,15.7
141.0,26.1
141.5,11.2
142.0,15.1
142.5,18.7
143.0,10.2
143.5,27.9
144.0,20.1
144.5,9.5
145.0,8712.8
145.5,12.8
146.0,13.5
146.5,18.1
147.0,13.2
147.5,25.8
148.0,13.2
148.5,25.9
149.0,17.2
149.5,24.7
150.0,14.1
150.5,14.3
151.0,11.0
151.5,22.1
152.0,25.5
152.5,40.9
153.0,29.3
153.5,19.3
154.0,16.1
154.5,20.5
155.0,17.3
155.5,31.4
156.0,25.5
156.5,12.5
157.0,13.3
157.5,30.3
158.0,19.8
158.5,16.0
159.0,28.1
159.5,15.0
160.0,15.7
160.5,14.6
161.0,8.0
161.5,24.7
162.0,10.8
162.5,13.9
163.0,13.0
163.5,23.4
164.0,17.0
164.5,17.6
165.0,8.9
165.5,16.9
166.0,9.7
166.5,19.8
167.0,20.3
167.5,17.4
168.0,39.6
168.5,21.6
169.0,22.2
169.5,18.5
170.0,16.2
170.5,25.8
171.0,27.2
171.5,10.4
172.0,26.7
172.5,21.5
173.0,25.7
173.5,21.1
174.0,10.6
174.5,11.0
175.0,36.3
175.5,19.4
176.0,9.9
176.5,20.1
177.0,15.1
177.5,8.4
178.0,7.0
178.5,9.2
179.0,19.5
179.5,17.2
180.0,15.8
180.5,19.6
181.0,22.3
181.5,7.6
182.0,15.5
182.5,12.6
183.0,10.7
183.5,14.1
184.0,16.7
184.5,15.7
185.0,9.8
185.5,14.4
186.0,39.2
186.5,11.5
187.0,8.9
187.5,19.5
188.0,22.2
188.5,21.1
189.0,11.2
189.5,26.1
190.0,12.8
190.5,11.1
191.0,13.7
191.5,16.8
192.0,23.3
192.5,22.5
193.0,17.4
193.5,25.4
194.0,18.1
194.5,25.1
195.0,10.0
195.5,9.3
196.0,23.9
196.5,10.0
197.0,15.5
197.5,16.8
198.0,14.4
198.5,14.6
199.0,30.6
199.5,6.4
200.0,24.9
200.5,43.8
201.0,17.7
201.5,17.4
202.0,23.4
202.5,36.4
203.0,10.9
203.5,18.1
204.0,16.3
204.5,21.9
205.0,18.7
205.5,22.8
206.0,14.8
206.5,17.9
207.0,13.4
207.5,13.4
208.0,16.5
208.5,16.5
209.0,11.0
209.5,32.8
210.0,4638.3
210.5,10.1
211.0,27.2
211.5,13.0
212.0,21.5
212.5,17.4
213.0,19.4
213.5,18.7
214.0,13.9
214.5,17.8
215.0,39.5
215.5,7.2
216.0,18.0
216.5,20.8
217.0,11.5
217.5,10.1
218.0,41.5
218.5,15.1
219.0,40.2
219.5,21.7
220.0,18.0
220.5,21.2
221.0,22.6
221.5,28.1
222.0,20.8
222.5,18.6
223.0,18.8
223.5,30.1
224.0,24.3
224.5,11.7
225.0,13.6
225.5,20.0
226.0,13.6
226.5,15.1
227.0,11.9
227.5,15.8
228.0,20.7
228.5,26.1
229.0,17.6
229.5,40.1
230.0,17.0
230.5,62.8
231.0,26.1
231.5,21.4
232.0,14.3
232.5,5.7
233.0,16.5
233.5,18.8
234.0,37.8
234.5,10.1
235.0,37.5
235.5,15.8
236.0,23.4
236.5,6.3
237.0,18.5
237.5,15.3
238.0,23.0
238.5,18.2
239.0,11.1
239.5,25.6
240.0,23.1
240.5,22.2
241.0,26.2
241.5,27.2
242.0,17.4
242.5,10.2
243.0,10.1
243.5,30.0
244.0,23.3
244.5,18.2
245.0,14.7
245.5,17.7
246.0,17.7
246.5,15.3
247.0,13.2
247.5,41.6
248.0,19.2
248.5,13.7
249.0,10.4
249.5,13.1
250.0,23.3
250.5,23.7
251.0,16.0
251.5,17.9
252.0,15.5
252.5,11.2
253.0,29.5
253.5,20.3
254.0,47.1
254.5,12.9
255.0,16.6
255.5,24.9
256.0,15.9
256.5,10.1
257.0,12.0
257.5,18.2
258.0,20.1
258.5,16.9
259.0,26.2
259.5,26.0
260.0,19.9
260.5,17.7
261.0,15.8
261.5,21.8
262.0,25.3
262.5,17.9
263.0,21.0
263.5,15.4
264.0,10.0
264.5,11.7
265.0,23.8
265.5,20.9
266.0,33.1
266.5,17.9
267.0,24.7
267.5,29.7
268.0,26.1
268.5,13.7
269.0,16.3
269.5,18.4
270.0,11.8
270.5,21.2
271.0,26.4
271.5,14.4
272.0,38.5
272.5,15.6
273.0,16.1
273.5,15.9
274.0,13.2
274.5,20.7
275.0,17.6
275.5,34.0
276.0,22.3
276.5,21.7
277.0,16.0
277.5,9.9
278.0,16.9
278.5,12.5
279.0,25.6
279.5,17.3
280.0,34.1
280.5,23.5
281.0,24.5
281.5,19.2
282.0,19.0
282.5,22.7
283.0,25.3
283.5,13.2
284.0,21.3
284.5,50.0
285.0,16.9
285.5,15.8
286.0,13.3
286.5,9.8
287.0,28.2
287.5,17.9
288.0,19.7
288.5,36.6
289.0,47.8
289.5,12.3
290.0,26.7
290.5,22.5
291.0,20.5
291.5,21.2
292.0,17.4
292.5,33.1
293.0,22.4
293.5,20.1
294.0,28.9
294.5,25.1
295.0,21.1
295.5,20.0
296.0,35.4
296.5,21.5
297.0,16.9
297.5,12.4
298.0,15.3
298.5,11.5
299.0,18.3
299.5,19.4
300.0,7.7
