mz,intensity
100.0,22.3
100.5,10.1
101.0,13.4
101.5,30.0
102.0,40.3
102.5,22.9
103.0,33.5
103.5,15.9
104.0,18.8
104.5,20.3
105.0,24.1
105.5,11.0
106.0,29.6
106.5,34.5
107.0,12.8
107.5,11.8
108.0,23.4
108.5,15.6
109.0,7.9
109.5,28.1
110.0,21.6
110.5,16.8
111.0,47.3
111.5,21.5
112.0,15.0
112.5,21.2
113.0,13.4
113.5,15.0
114.0,23.7
114.5,16.3
115.0,17.0
115.5,39.6
116.0,28.7
116.5,28.0
117.0,25.1
117.5,24.7
118.0,36.4
118.5,20.2
119.0,42.7
119.5,13.9
120.0,6890.8
120.5,11.7
121.0,17.7
121.5,25.0
122.0,36.3
122.5,15.6
123.0,20.4
123.5,17.6
124.0,15.1
124.5,12.6
125.0,20.8
125.5,10.2
126.0,21.2
126.5,20.5
127.0,15.6
127.5,13.6
128.0,11.7
128.5,42.9
129.0,11.9
129.5,37.9
130.0,25.8
130.5,17.6
131.0,12.8
131.5,30.8
132.0,40.6
132.5,14.0
133.0,18.0
133.5,30.9
134.0,23.2
134.5,45.2
135.0,16.2
135.5,25.2
136.0,12.3
136.5,47.0
137.0,15.2
137.5,8.4
138.0,19.3
138.5,19.2
139.0,43.7
139.5,17.7
140.0,20.2
140.5,25.8
141.0,38.3
141.5,19.8
142.0,30.8
142.5,25.0
143.0,18.0
143.5,21.0
144.0,20.5
144.5,14.1
145.0,33.0
145.5,11.7
146.0,32.5
146.5,29.8
147.0,19.6
147.5,15.0
148.0,18.6
148.5,24.5
149.0,27.3
149.5,22.8
150.0,30.2
150.5,16.3
151.0,22.3
151.5,10.8
152.0,27.6
152.5,21.6
153.0,17.2
153.5,32.3
154.0,26.8
154.5,6.6
155.0,20.6
155.5,11.4
156.0,31.1
156.5,55.0
157.0,16.5
157.5,20.9
158.0,18.4
158.5,23.4
159.0,26.3
159.5,34.0
160.0,13.7
160.5,38.1
161.0,14.0
161.5,22.7
162.0,32.3
162.5,27.0
163.0,14.0
163.5,15.3
164.0,16.9
164.5,19.9
165.0,32.1
165.5,12.1
166.0,24.5
166.5,25.9
167.0,25.4
167.5,24.5
168.0,37.3
168.5,24.7
169.0,28.6
169.5,25.5
170.0,41.6
170.5,9.5
171.0,33.9
171.5,18.3
172.0,18.2
172.5,13.8
173.0,9.6
173.5,17.4
174.0,15.4
174.5,24.8
175.0,11.3
175.5,6543.3
176.0,22.6
176.5,18.4
177.0,15.3
177.5,14.8
178.0,12.9
178.5,16.3
179.0,20.4
179.5,18.9
180.0,11.5
180.5,18.3
181.0,14.2
181.5,21.7
182.0,42.8
182.5,26.1
183.0,17.9
183.5,10.6
184.0,11.5
184.5,10.3
185.0,27.2
185.5,15.0
186.0,20.8
186.5,15.8
187.0,21.1
187.5,35.6
188.0,15.4
188.5,17.7
189.0,14.7
189.5,28.8
190.0,13.5
190.5,12.9
191.0,11.7
191.5,11.6
192.0,24.5
192.5,56.8
193.0,13.6
193.5,29.7
194.0,22.5
194.5,13.1
195.0,18.2
195.5,18.5
196.0,15.4
196.5,44.0
197.0,9.5
197.5,23.7
198.0,23.2
198.5,16.1
199.0,21.6
199.5,28.9
200.0,21.6
200.5,24.0
201.0,26.8
201.5,9.0
202.0,36.7
202.5,50.5
203.0,30.1
203.5,30.5
204.0,11.6
204.5,19.4
205.0,14.7
205.5,16.1
206.0,29.9
206.5,14.7
207.0,19.3
207.5,9.5
208.0,19.1
208.5,21.1
209.0,15.3
209.5,15.2
210.0,43.2
210.5,12.5
211.0,13.3
211.5,14.7
212.0,32.8
212.5,47.1
213.0,23.2
213.5,15.2
214.0,17.1
214.5,31.1
215.0,14.1
215.5,36.3
216.0,35.8
216.5,20.9
217.0,26.3
217.5,27.4
218.0,37.8
218.5,13.3
219.0,32.6
219.5,17.5
220.0,14.9
220.5,21.2
221.0,18.6
221.5,13.7
222.0,10.7
222.5,13.9
223.0,36.3
223.5,44.5
224.0,26.3
224.5,32.6
225.0,16.5
225.5,19.7
226.0,22.7
226.5,13.2
227.0,13.7
227.5,21.1
228.0,17.9
228.5,13.3
229.0,23.7
229.5,18.3
230.0,30.6
230.5,20.3
231.0,18.0
231.5,21.4
232.0,19.0
232.5,15.6
233.0,17.3
233.5,27.4
234.0,26.3
