mz,intensity
100.0,31.3
100.5,8.2
101.0,14.5
101.5,13.4
102.0,13.0
102.5,14.3
103.0,14.4
103.5,23.0
104.0,14.1
104.5,21.4
105.0,23.9
105.5,15.1
106.0,21.4
106.5,39.7
107.0,23.2
107.5,15.6
108.0,19.8
108.5,14.0
109.0,22.7
109.5,28.9
110.0,14.5
110.5,18.6
111.0,32.0
111.5,16.6
112.0,21.9
112.5,13.4
113.0,14.5
113.5,16.5
114.0,48.5
114.5,17.2
115.0,16.4
115.5,16.2
116.0,19.0
116.5,26.4
117.0,21.9
117.5,46.3
118.0,22.1
118.5,36.2
119.0,22.7
119.5,25.9
120.0,8575.6
120.5,19.3
121.0,19.8
121.5,18.4
122.0,8.6
122.5,28.9
123.0,17.4
123.5,17.0
124.0,18.3
124.5,18.5
125.0,23.9
125.5,12.2
126.0,14.0
126.5,22.8
127.0,21.5
127.5,17.5
128.0,16.1
128.5,14.5
129.0,19.8
129.5,32.6
130.0,13.3
130.5,37.4
131.0,28.5
131.5,16.9
132.0,27.8
132.5,11.3
133.0,10.2
133.5,12.1
134.0,17.2
134.5,17.8
135.0,16.5
135.5,21.1
136.0,8.6
136.5,24.8
137.0,11.5
137.5,15.6
138.0,17.2
138.5,12.8
139.0,11.7
139.5,13.6
140.0,20.2
140.5,25.7
141.0,25.5
141.5,13.6
142.0,14.8
142.5,14.1
143.0,24.3
143.5,9.0
144.0,33.3
144.5,16.7
145.0,14.8
145.5,23.3
146.0,30.7
146.5,23.3
147.0,31.0
147.5,21.4
148.0,33.2
148.5,33.4
149.0,19.5
149.5,36.1
150.0,21.7
150.5,21.0
151.0,14.1
151.5,18.1
152.0,27.7
152.5,12.0
153.0,26.3
153.5,23.4
154.0,22.7
154.5,8.4
155.0,19.5
155.5,26.3
156.0,15.0
156.5,21.1
157.0,7.8
157.5,26.6
158.0,15.6
158.5,28.8
159.0,9.7
159.5,26.8
160.0,18.5
160.5,28.1
161.0,14.0
161.5,15.9
162.0,49.8
162.5,14.6
163.0,15.3
163.5,18.2
164.0,13.5
164.5,32.7
165.0,40.5
165.5,15.3
166.0,10.2
166.5,32.5
167.0,31.6
167.5,28.2
168.0,32.3
168.5,14.4
169.0,19.0
169.5,11.7
170.0,11.5
170.5,30.1
171.0,15.5
171.5,50.6
172.0,20.9
172.5,15.7
173.0,28.0
173.5,41.8
174.0,24.7
174.5,12.5
175.0,23.6
175.5,6346.9
176.0,16.7
176.5,14.9
177.0,30.5
177.5,21.5
178.0,13.1
178.5,17.5
179.0,15.0
179.5,22.9
180.0,21.2
180.5,32.2
181.0,27.0
181.5,10.9
182.0,23.9
182.5,29.1
183.0,24.4
183.5,30.7
184.0,16.3
184.5,13.9
185.0,29.5
185.5,13.3
186.0,8.6
186.5,30.6
187.0,15.2
187.5,18.0
188.0,11.6
188.5,12.0
189.0,12.8
189.5,17.6
190.0,23.6
190.5,8.1
191.0,27.4
191.5,12.7
192.0,13.3
192.5,26.6
193.0,19.7
193.5,11.0
194.0,42.5
194.5,14.4
195.0,22.4
195.5,22.0
196.0,35.7
196.5,16.9
197.0,30.4
197.5,15.1
198.0,31.8
198.5,15.0
199.0,17.6
199.5,43.4
200.0,23.1
200.5,21.2
201.0,49.8
201.5,23.5
202.0,14.7
202.5,27.3
203.0,12.7
203.5,31.9
204.0,32.9
204.5,16.2
205.0,15.8
205.5,21.8
206.0,20.4
206.5,13.7
207.0,25.5
207.5,9.0
208.0,17.1
208.5,17.3
209.0,18.2
209.5,23.0
210.0,12.4
210.5,25.7
211.0,18.9
211.5,15.7
212.0,11.8
212.5,12.7
213.0,23.5
213.5,13.8
214.0,20.8
214.5,31.1
215.0,30.7
215.5,37.9
216.0,18.0
216.5,13.2
217.0,30.6
217.5,23.0
218.0,31.8
218.5,20.4
219.0,32.8
219.5,28.5
220.0,27.1
220.5,24.8
221.0,23.8
221.5,22.3
222.0,22.2
222.5,30.2
223.0,16.6
223.5,40.7
224.0,19.5
224.5,30.1
225.0,19.6
225.5,18.4
226.0,45.8
226.5,17.9
227.0,12.2
227.5,15.3
228.0,17.9
228.5,48.1
229.0,22.1
229.5,29.5
230.0,13.6
230.5,23.4
231.0,26.6
231.5,41.8
232.0,15.4
232.5,25.9
233.0,22.9
233.5,13.5
234.0,20.2
234.5,18.3
235.0,8.0
235.5,25.8
236.0,25.2
236.5,17.0
237.0,11.9
237.5,36.7
238.0,22.6
238.5,30.5
239.0,35.7
239.5,16.5
240.0,28.1
240.5,18.4
241.0,19.8
241.5,19.6
242.0,20.3
242.5,31.7
243.0,21.3
243.5,19.1
244.0,18.2
244.5,23.3
245.0,14.2
245.5,16.6
246.0,19.9
246.5,16.2
247.0,19.4
247.5,15.9
248.0,45.3
248.5,34.6
249.0,24.3
249.5,19.9
250.0,48.8
250.5,23.1
251.0,19.6
251.5,22.9
252.0,23.0
252.5,35.7
253.0,20.2
253.5,47.0
254.0,14.3
254.5,26.8
255.0,13.6
255.5,42.0
256.0,17.8
256.5,19.8
257.0,29.4
257.5,33.6
258.0,13.0
258.5,17.7
259.0,11.6
259.5,21.5
