mz,rf_importance,svm_importance,gb_importance,lr_importance,ridge_importance,vip_score,n_methods,in_rf_top,in_svm_top,in_gb_top,in_lr_top,in_ridge_top,in_vip_top,mean_CondA,ridge_CondA,mean_CondB,ridge_CondB,top_condition_mean,mean_margin,top_condition_ridge,ridge_direction,fold_change,log2_fold_change,p_value,q_value_BH,fc_top_group,fc_bottom_group,univariate_test,rf_perm_importance_mean,gb_perm_importance_mean
145.249049809962,0.0,0.032999280836944235,0.07759146638322782,0.14348660770114313,0.032902258961667555,2.9640452151120154,5,False,True,True,True,True,True,-2.67877352670245,-0.032902258961667555,2.678773526702449,0.032902258961667555,CondB,-0.9999999999999988,CondB,elevated,-0.9999999999999991,-1.2813706015259676e-15,3.028048023089334e-07,8.629936865804602e-05,CondB,CondA,Welch t-test (colony-aggregated),0.2916666666666667,0.16666666666666666
209.74194838967793,0.04,0.0329821304230497,0.2210978335140162,0.14336726364913943,0.032885053037867706,2.960491580737755,6,True,True,True,True,True,True,-2.3743620945559845,-0.032885053037867706,2.3743620945559836,0.032885053037867706,CondB,-0.9999999999999991,CondB,elevated,-0.9999999999999991,-1.2813706015259676e-15,1.4770693855663352e-05,0.0021048238744320277,CondB,CondA,Welch t-test (colony-aggregated),0.3333333333333333,0.125
144.748949789958,0.07285714285714286,0.03300036865907673,0.014719919240375998,0.14344647563581645,0.03290326282947593,2.9622615092225764,6,True,True,True,True,True,True,-2.6494777841219808,-0.03290326282947593,2.6494777841219803,0.03290326282947593,CondB,-0.9999999999999997,CondB,elevated,-0.9999999999999994,-8.008566259537297e-16,2.503475874012338e-05,0.0023549104262083685,CondB,CondA,Welch t-test (colony-aggregated),0.20833333333333334,0.20833333333333334
175.75515103020606,0.02,0.03292172315683337,0.18072501546212263,0.14306546654121619,0.032824166662747865,2.9539669067016163,6,True,True,True,True,True,True,2.479429732351878,0.032824166662747865,-2.479429732351878,-0.032824166662747865,CondA,-1.0,CondA,elevated,-0.9999999999999996,-6.406853007629837e-16,3.305137440292447e-05,0.0023549104262083685,CondA,CondB,Welch t-test (colony-aggregated),0.041666666666666664,0.16666666666666666
119.74394878975795,0.05,0.03300112989288585,0.004906394575897754,0.14320814815827707,0.03290278698782812,2.9485405925819275,6,True,True,True,True,True,True,2.568738041476738,0.03290278698782812,-2.56873804147674,-0.03290278698782812,CondA,-0.9999999999999976,CondA,elevated,-1.000000000000002,2.8830838534334232e-15,5.288854494107441e-05,0.0030146470616412412,CondA,CondB,Welch t-test (colony-aggregated),0.125,0.041666666666666664
175.25505101020204,0.06,0.032607524502044495,0.003936582126850005,0.14215549753226359,0.03251262272508178,2.955967711303454,6,True,True,True,True,True,True,2.5254591087590237,0.03251262272508178,-2.525459108759024,-0.03251262272508178,CondA,-0.9999999999999996,CondA,elevated,-1.0,0.0,6.619702616251037e-05,0.0031443587427192423,CondA,CondB,Welch t-test (colony-aggregated),0.041666666666666664,0.20833333333333334
210.24204840968196,0.04,0.03297858694093167,0.2832261723197441,0.1433229003577623,0.032881316782612066,2.95761952465265,6,True,True,True,True,True,True,-2.4212949345392256,-0.032881316782612066,2.4212949345392256,0.032881316782612066,CondB,-1.0,CondB,elevated,-1.0000000000000004,6.406853007629834e-16,0.0005105328375225547,0.020785979813418298,CondB,CondA,Welch t-test (colony-aggregated),0.25,0.25
120.24404880976195,0.04,0.032955021869653,0.21379661637776554,0.14306394509415687,0.03285739245043714,2.9484995221354335,6,True,True,True,True,True,True,2.596772709350198,0.03285739245043714,-2.596772709350199,-0.03285739245043714,CondA,-0.9999999999999991,CondA,elevated,-1.0000000000000013,1.9220559022889492e-15,0.0012858728566616559,0.04580922051857149,CondA,CondB,Welch t-test (colony-aggregated),0.08333333333333333,0.125
226.74534906981398,0.003,0.019133490395211755,0.0,0.08329999500035627,0.019075047735764593,1.7227581728178023,4,False,True,False,True,True,True,-0.16973320373123332,-0.019075047735764593,0.1697332037312332,0.019075047735764593,CondB,-0.9999999999999996,CondB,elevated,-0.9999999999999996,-6.406853007629837e-16,0.03364805125322451,0.7628954385040766,CondB,CondA,Welch t-test (colony-aggregated),0.0,0.0
268.75375075015006,0.0,0.01997633862591413,0.0,0.08810022059781074,0.01992404960739802,1.8886905735751995,4,False,True,False,True,True,True,0.2675980792103426,0.01992404960739802,-0.2675980792103427,-0.01992404960739802,CondA,-0.9999999999999998,CondA,elevated,-1.0000000000000002,3.203426503814917e-16,0.03479873930018595,0.7628954385040766,CondA,CondB,Welch t-test (colony-aggregated),0.0,0.0
