mz,rf_perm_importance_mean,rf_perm_importance_std,gb_perm_importance_mean,gb_perm_importance_std
100.2400480096019,0.0,0.0,0.0,0.0
100.74014802960592,0.0,0.0,0.0,0.0
101.24024804960992,0.0,0.0,0.0,0.0
101.74034806961394,0.0,0.0,0.0,0.0
102.24044808961793,0.0,0.0,0.0,0.0
102.74054810962191,0.0,0.0,0.0,0.0
103.24064812962592,0.0,0.0,0.0,0.0
103.74074814962994,0.0,0.0,0.0,0.0
104.24084816963392,0.0,0.0,0.0,0.0
104.74094818963793,0.0,0.0,0.0,0.0
105.24104820964193,0.0,0.0,0.0,0.0
105.74114822964594,0.0,0.0,0.0,0.0
106.24124824964991,0.0,0.0,0.0,0.0
106.74134826965394,0.0,0.0,0.0,0.0
107.24144828965792,-0.08333333333333333,0.11785113019775792,0.0,0.0
107.74154830966194,0.0,0.0,0.0,0.0
108.24164832966595,0.0,0.0,0.0,0.0
108.74174834966993,0.0,0.0,0.0,0.0
109.24184836967393,0.0,0.0,0.0,0.0
109.74194838967793,0.0,0.0,0.0,0.0
110.24204840968194,0.0,0.0,0.0,0.0
110.74214842968593,0.0,0.0,0.0,0.0
111.24224844968992,0.0,0.0,0.0,0.0
111.74234846969394,0.0,0.0,0.0,0.0
112.24244848969796,0.0,0.0,0.0,0.0
112.74254850970196,0.0,0.0,0.041666666666666664,0.05892556509887896
113.24264852970595,0.0,0.0,0.0,0.0
113.74274854970993,0.0,0.0,0.0,0.0
114.24284856971396,0.0,0.0,0.0,0.0
114.74294858971797,0.0,0.0,0.0,0.0
115.24304860972194,-0.08333333333333333,0.11785113019775792,0.0,0.0
115.74314862972595,0.0,0.0,0.0,0.0
116.24324864972995,0.0,0.0,0.0,0.0
116.74334866973395,0.0,0.0,0.0,0.0
117.24344868973793,0.0,0.0,0.0,0.0
117.74354870974194,0.0,0.0,0.0,0.0
118.24364872974594,0.0,0.0,0.0,0.0
118.74374874974997,0.0,0.0,0.0,0.0
119.24384876975397,-0.041666666666666664,0.05892556509887896,0.0,0.0
119.74394878975795,0.125,0.1767766952966369,0.041666666666666664,0.05892556509887896
120.24404880976195,0.08333333333333333,0.11785113019775792,0.125,0.1767766952966369
120.74414882976595,-0.08333333333333333,0.11785113019775792,0.0,0.0
121.24424884976997,0.0,0.0,0.0,0.0
121.74434886977394,0.0,0.0,0.0,0.0
122.24444888977794,0.0,0.0,0.0,0.0
122.74454890978195,0.0,0.0,0.0,0.0
123.24464892978595,0.0,0.0,0.0,0.0
123.74474894978998,0.0,0.0,0.0,0.0
124.24484896979395,0.0,0.0,0.0,0.0
124.74494898979795,0.0,0.0,0.0,0.0
125.24504900980197,0.0,0.0,0.0,0.0
125.74514902980599,0.0,0.0,0.0,0.0
126.24524904980997,0.0,0.0,0.0,0.0
