mz,intensity
100.0,18.9
100.5,25.9
101.0,21.8
101.5,22.6
102.0,22.7
102.5,16.1
103.0,13.3
103.5,24.5
104.0,23.7
104.5,18.4
105.0,17.0
105.5,50.0
106.0,14.8
106.5,18.4
107.0,22.3
107.5,12.7
108.0,21.1
108.5,41.2
109.0,29.2
109.5,25.9
110.0,25.5
110.5,21.0
111.0,29.5
111.5,18.9
112.0,17.0
112.5,20.9
113.0,28.9
113.5,22.9
114.0,26.3
114.5,8.9
115.0,32.4
115.5,51.2
116.0,34.3
116.5,17.7
117.0,14.3
117.5,22.4
118.0,13.5
118.5,26.9
119.0,16.3
119.5,29.5
120.0,34.6
120.5,8.9
121.0,22.6
121.5,15.2
122.0,11.4
122.5,15.7
123.0,18.4
123.5,30.4
124.0,10.9
124.5,30.6
125.0,45.0
125.5,25.5
126.0,25.0
126.5,20.0
127.0,12.6
127.5,24.9
128.0,23.4
128.5,26.9
129.0,56.1
129.5,26.9
130.0,23.8
130.5,37.5
131.0,11.7
131.5,12.7
132.0,17.3
132.5,15.5
133.0,26.5
133.5,17.7
134.0,40.3
134.5,36.9
135.0,27.3
135.5,17.2
136.0,25.7
136.5,27.8
137.0,13.1
137.5,23.1
138.0,26.6
138.5,21.9
139.0,37.7
139.5,32.7
140.0,14.4
140.5,21.1
141.0,14.4
141.5,25.3
142.0,14.2
142.5,29.1
143.0,23.5
143.5,29.6
144.0,19.0
144.5,11.2
145.0,8598.3
145.5,18.7
146.0,34.8
146.5,23.9
147.0,26.3
147.5,41.8
148.0,23.0
148.5,35.2
149.0,11.1
149.5,28.5
150.0,18.2
150.5,19.0
151.0,20.2
151.5,23.1
152.0,39.0
152.5,9.6
153.0,20.4
153.5,15.1
154.0,32.0
154.5,17.0
155.0,24.1
155.5,17.1
156.0,26.2
156.5,30.1
157.0,17.1
157.5,20.5
158.0,11.4
158.5,22.7
159.0,28.3
159.5,16.1
160.0,31.4
160.5,8.8
161.0,9.6
161.5,11.5
162.0,16.5
162.5,20.2
163.0,19.5
163.5,19.6
164.0,26.8
164.5,16.6
165.0,12.1
165.5,12.2
166.0,46.8
166.5,7.8
167.0,18.7
167.5,36.0
168.0,24.4
168.5,14.4
169.0,20.1
169.5,28.4
170.0,32.6
170.5,14.0
171.0,27.2
171.5,22.2
172.0,31.2
172.5,35.0
173.0,17.5
173.5,11.3
174.0,23.5
