mz,intensity
100.0,21.9
100.5,12.4
101.0,13.8
101.5,27.7
102.0,24.2
102.5,9.4
103.0,34.4
103.5,25.5
104.0,34.4
104.5,17.2
105.0,17.8
105.5,12.8
106.0,55.4
106.5,18.7
107.0,37.9
107.5,15.5
108.0,21.4
108.5,10.3
109.0,17.2
109.5,29.8
110.0,12.2
110.5,30.8
111.0,23.0
111.5,13.2
112.0,16.4
112.5,16.7
113.0,19.7
113.5,16.2
114.0,14.4
114.5,17.8
115.0,13.3
115.5,12.0
116.0,19.7
116.5,28.6
117.0,10.9
117.5,20.1
118.0,15.5
118.5,13.6
119.0,28.3
119.5,16.3
120.0,8646.2
120.5,14.7
121.0,23.4
121.5,18.3
122.0,14.9
122.5,25.4
123.0,18.9
123.5,25.6
124.0,19.7
124.5,13.0
125.0,19.3
125.5,20.5
126.0,29.5
126.5,14.0
127.0,19.8
127.5,10.1
128.0,26.1
128.5,13.0
129.0,9.8
129.5,19.6
130.0,31.3
130.5,10.9
131.0,13.0
131.5,14.9
132.0,12.8
132.5,23.4
133.0,14.5
133.5,15.1
134.0,25.4
134.5,14.8
135.0,23.9
135.5,13.6
136.0,12.4
136.5,9.6
137.0,42.3
137.5,17.7
138.0,22.1
138.5,19.8
139.0,21.4
139.5,20.5
140.0,43.1
140.5,13.3
141.0,10.8
141.5,13.4
142.0,11.8
142.5,27.1
143.0,27.9
143.5,13.7
144.0,11.5
144.5,17.4
145.0,35.0
145.5,6.5
146.0,24.8
146.5,13.1
147.0,30.5
147.5,13.1
148.0,17.9
148.5,11.0
149.0,13.6
149.5,35.0
150.0,27.9
150.5,17.1
151.0,14.2
151.5,9.4
152.0,17.2
152.5,19.8
153.0,19.4
153.5,19.3
154.0,12.8
154.5,19.6
155.0,19.8
155.5,33.7
156.0,42.4
156.5,19.0
157.0,14.8
157.5,19.6
158.0,15.8
158.5,14.9
159.0,19.6
159.5,13.2
160.0,25.6
160.5,19.3
161.0,22.2
161.5,18.7
162.0,15.0
162.5,13.7
163.0,18.3
163.5,16.1
164.0,22.1
164.5,20.1
165.0,11.6
165.5,20.6
166.0,11.7
166.5,15.7
167.0,17.9
167.5,8.8
168.0,20.8
168.5,21.3
169.0,18.9
169.5,17.0
170.0,17.3
170.5,13.6
171.0,18.0
171.5,16.1
172.0,20.8
172.5,12.4
173.0,22.1
173.5,21.3
174.0,19.0
174.5,16.9
175.0,25.1
175.5,6126.4
176.0,24.1
176.5,22.1
177.0,22.5
177.5,23.4
178.0,15.5
178.5,18.1
179.0,25.9
179.5,23.9
180.0,21.8
180.5,11.0
181.0,24.9
181.5,32.1
182.0,30.1
182.5,22.1
183.0,10.8
183.5,29.3
184.0,18.9
184.5,7.3
185.0,23.4
185.5,11.1
186.0,12.0
186.5,15.6
187.0,33.4
187.5,17.3
188.0,22.4
188.5,40.4
189.0,38.0
189.5,19.3
190.0,18.2
190.5,12.1
191.0,15.2
191.5,23.8
192.0,23.5
192.5,21.0
193.0,29.9
193.5,14.7
194.0,19.6
194.5,26.9
195.0,25.4
195.5,30.8
196.0,23.5
196.5,17.7
197.0,23.2
197.5,13.5
198.0,10.4
198.5,25.3
199.0,19.6
199.5,22.7
200.0,10.2
200.5,17.4
201.0,15.8
201.5,14.2
202.0,8.2
202.5,17.6
203.0,28.8
203.5,23.4
204.0,15.8
204.5,20.0
205.0,27.2
205.5,6.7
206.0,19.1
206.5,25.0
207.0,26.4
207.5,39.7
208.0,31.6
208.5,22.8
209.0,22.7
209.5,27.5
210.0,16.2
210.5,19.8
211.0,28.9
211.5,43.9
212.0,18.8
212.5,19.7
213.0,21.7
213.5,34.4
214.0,19.8
214.5,36.2
215.0,13.6
215.5,18.6
216.0,18.6
216.5,27.5
217.0,30.5
217.5,11.0
218.0,13.9
218.5,23.0
219.0,15.4
219.5,10.9
220.0,30.4
220.5,24.5
221.0,24.5
221.5,16.6
222.0,30.3
222.5,18.2
223.0,31.1
223.5,13.9
224.0,14.3
224.5,21.8
225.0,15.2
225.5,26.3
226.0,22.3
226.5,13.9
227.0,20.7
227.5,17.5
228.0,29.0
228.5,15.6
229.0,16.9
229.5,32.6
230.0,49.2
230.5,44.7
231.0,20.6
231.5,21.9
232.0,37.1
232.5,19.1
233.0,13.6
233.5,21.0
234.0,24.1
234.5,14.4
235.0,10.4
235.5,11.3
236.0,26.2
236.5,14.8
237.0,19.0
237.5,21.9
238.0,25.7
238.5,17.6
239.0,24.5
239.5,14.1
240.0,17.4
240.5,13.3
241.0,31.6
241.5,19.9
242.0,14.9
242.5,17.4
243.0,18.4
243.5,26.6
244.0,10.6
244.5,13.3
245.0,17.3
245.5,55.3
246.0,29.4
246.5,19.2
247.0,26.7
247.5,45.7
248.0,18.3
248.5,17.3
249.0,32.6
249.5,24.5
250.0,26.3
250.5,16.4
